id,imbd_id,title,overview,production_companies,release_date,budget,revenue,runtime,language,genres,status
454,tt0117509,Romeo + Juliet,"In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.","[{""name"": ""Bazmark Films"", ""id"": 240}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",1996-10-31,14500000,147298761,120,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",Released
455,tt0286499,Bend It Like Beckham,"Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.","[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Kintop Pictures"", ""id"": 1490}, {""name"": ""Filmförderung Hamburg"", ""id"": 2406}, {""name"": ""UK Film Council"", ""id"": 2452}]",2002-04-11,3500159,76578641,112,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",Released
457,tt0048624,Sissi,"The young Bavarian princess Elisabeth, who all call Sissi, goes with her mother and older sister Néné to Austria where Néné will be wed to an emperor named Franz Joseph, Yet unexpectedly Franz runs into Sissi while out fishing and they fall in love.","[{""name"": ""Herzog"", ""id"": 241}]",1955-12-22,0,0,102,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",Released
458,tt0049762,Sissi: The Young Empress,"Sissi is now the empress of Austria and attempts to learn etiquette. While she is busy being empress she also has to deal with her difficult new mother-in-law, while the arch-duchess Sophie is trying to tell the emperor how to rule and also Sissi how to be a mother.","[{""name"": ""Erma-Film"", ""id"": 2122}]",1956-12-18,0,0,107,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",Released
459,tt0050974,Sissi: The Fateful Years of an Empress,After a wonderful time in Hungary Sissi falls extremely ill and must retreat to a Mediterranean climate to rest. The young empress’ mother takes her from Austria to recover in Madeira.,"[{""name"": ""Ernst Marischka & Co"", ""id"": 59425}, {""name"": ""Erma-Filmproduktionsgesellschaft"", ""id"": 59426}]",1957-12-18,0,0,109,,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",Released
460,tt0416331,Go for Zucker,Germany director Dani Levy filmed this comedy about Jewish life in today’s Germany along side the familiar east-west conflict. With it great success this film is a joyful comedy of humor and knowledge.,"[{""name"": ""WDR"", ""id"": 46}, {""name"": ""Bayerischer Rundfunk"", ""id"": 162}, {""name"": ""Arte"", ""id"": 201}, {""name"": ""X-Filme Creative Pool"", ""id"": 1972}]",2005-01-06,0,0,136,,"[{""id"": 35, ""name"": ""Comedy""}]",Released
462,tt0195685,Erin Brockovich,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.","[{""name"": ""Jersey Films"", ""id"": 216}]",2000-03-17,52000000,256271286,131,,"[{""id"": 18, ""name"": ""Drama""}]",Released
464,tt0382330,As It Is in Heaven,A musical romantic tragedy about a famous composer who moves back to his small hometown after having had heart troubles. His search for a simple everyday life leads him into teaching the local church choir which is not easily accepted by the town yet the choir builds a great love for their teacher.,"[{""name"": ""GF Studios AB"", ""id"": 242}, {""name"": ""Lefwander Kapitalförvaltning AB"", ""id"": 2495}, {""name"": ""Sonet Film AB"", ""id"": 7937}]",2004-09-03,0,0,132,,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",Released
465,tt0094596,Junior Size 36,"Lili, a pouty and voluptuous 14-year-old, is caravan camping with her family in Biarritz. She's self-aware and holds her own in a café conversation with a concert pianist she meets, but she has a wild streak and she's testing her powers over men, finding that she doesn't always control her moods or actions, and she's impatient with being a virgin. She sets off with her brother to a disco, latching onto an aging playboy who is himself hot and cold to her. She is ambivalent about losing her virginity that night, willing the next, and determined by the third. The playboy's mix of depression and misogyny ends their unconsummated affair, so Lili has to hunt elsewhere.","[{""name"": ""CB Films"", ""id"": 243}, {""name"": ""French Productions"", ""id"": 244}]",1988-03-03,0,0,88,,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",Released
466,tt0067309,Klute,"This acclaimed thriller stars Jane Fonda as Bree Daniel, a New York City call girl who becomes enmeshed in an investigation into the disappearance of a business executive. Detective John Klute is hired to follow Daniel, and eventually begins a romance with her, but it appears that he hasn't been the only person on her trail. When it becomes clear that Daniel is being targeted, it's up to her and Klute to figure out who is after her before it's too late.","[{""name"": ""Gus Productions"", ""id"": 6174}, {""name"": ""Warner Bros."", ""id"": 6194}]",1971-06-21,2500000,0,114,,"[{""id"": 9648, ""name"": ""Mystery""}]",Released
